State,Delegates,Biden,Sanders,Bloomberg,Warren,Other,Total
AL,11,286067,74867,52750,25847,12784,452315
AR,7,92998,51294,38324,22918,23865,229399
ME,5,68418,65894,24124,31530,10380,200346
MA,20,470448,373221,164538,299700,92138,1397682
MN,16,287553,222431,61882,114674,57658,744198
NC,24,568581,318884,171808,138513,124823,1322609
OK,8,117552,77302,42243,40676,26166,303939
TN,14,215005,128671,19658,53537,98539,515410
TX,49,716781,622964,299449,237317,203492,2080003
VA,21,705236,306059,127926,142456,41147,1322824
CO,14,232206,346802,175700,165687,21444,941839
UT,6,39006,74480,33258,34401,30022,211167
VT,3,34733,79982,14845,19814,8439,157813
CA,90,1174679,1480238,575543,572493,548911,4351864
AL1,5,39184,9753,7094,2615,1798,60444
AL2,5,38298,7709,7295,2242,1771,57315
AL3,4,33910,8422,6800,2902,1432,53466
AL4,3,18822,6230,4238,1740,1051,32081
AL5,5,38598,15097,6736,4921,1481,66833
AL6,4,48755,13324,6847,5837,1565,76328
AL7,8,68526,14232,13738,5598,3636,105730
AR1,4,18234,7910,7601,2830,4676,41251
AR2,6,33726,16715,13069,8950,6975,79435
AR3,5,18639,17977,8735,7889,5877,59117
AR4,5,21983,8511,8812,3187,6148,48641
CA1,4,16203,24439,7821,9517,15463,73443
CA2,6,29597,38386,20610,19953,19910,128456
CA3,5,20966,21267,9293,7513,9904,68943
CA4,5,24580,22677,14121,10216,18828,90422
CA5,6,29777,34060,18816,13724,16578,112955
CA6,5,13459,20205,7984,7745,10428,59821
CA7,5,14320,17492,9409,6148,12139,59508
CA8,4,16349,18158,6298,4640,6881,52326
CA9,5,14823,13705,8132,3264,6593,46517
CA10,4,10024,12026,6809,2786,6768,38413
CA11,6,41138,37003,22147,20462,15847,136597
CA12,7,51329,70120,24424,51235,17787,214895
CA13,7,44188,72455,16892,50807,13376,197718
CA14,6,32506,38986,21890,18995,17061,129438
CA15,6,31616,34908,16322,12658,12382,107886
CA16,4,13476,20207,6759,3693,7237,51372
CA17,5,23430,32398,14020,11454,11515,92817
CA18,6,39128,36550,23716,23725,19341,142460
CA19,6,24852,36922,14101,10437,11904,98216
CA20,5,28038,40898,12792,14523,13146,109397
CA21,4,6177,9449,3653,1208,3695,24182
CA22,4,16002,18770,7732,4971,9160,56635
CA23,4,9452,9942,4276,2738,5283,31691
CA24,5,30717,37364,12742,17205,16213,114241
CA25,5,19822,20261,6360,5876,7469,59788
CA26,5,22769,24413,10635,8970,10898,77685
CA27,5,23535,28711,9056,12233,8583,82118
CA28,6,22025,39179,8226,21057,9848,100335
CA29,5,11884,27620,4711,5910,6597,56722
CA30,6,26992,28131,11181,13001,10564,89869
CA31,5,21610,25498,7531,5506,6408,66553
CA32,5,16632,26235,6515,4189,6061,59632
CA33,6,34471,27177,16903,16670,12140,107361
CA34,5,11673,36647,6373,9357,5604,69654
CA35,4,15215,24412,5922,2992,4332,52873
CA36,4,16457,14155,10491,5052,15126,61281
CA37,6,31282,34168,11425,14906,8343,100124
CA38,5,18522,24544,7046,4295,7071,61478
CA39,5,19101,22551,8620,6041,7766,64079
CA40,5,9329,25074,4328,2364,4490,45585
CA41,5,12750,17790,5648,3553,5395,45136
CA42,5,13204,14859,6467,3546,6808,44884
CA43,5,23343,23536,7343,6656,7166,68044
CA44,5,16422,23348,5548,3284,6659,55261
CA45,5,25054,28805,12867,10396,11488,88610
CA46,4,9978,26127,5797,3951,4818,50671
CA47,5,17480,24550,8180,7484,9590,67284
CA48,5,24176,24219,14332,9075,11185,82987
CA49,5,29724,27534,15156,12388,13350,98152
CA50,4,18853,22478,9500,7960,10188,68979
CA51,5,13270,26044,6725,4069,5528,55636
CA52,6,35439,33657,16580,17723,14860,118259
CA53,6,31520,40128,12268,17422,13137,114475
CO1,9,46871,78160,34043,41238,2952,203264
CO2,9,42835,68142,29668,37101,3576,181322
CO3,5,27663,37266,22024,15256,3327,105536
CO4,5,27343,36096,21359,17293,2856,104947
CO5,4,22304,30205,15996,13537,2818,84860
CO6,6,32860,45055,26192,19250,2750,126107
CO7,6,32330,51878,26418,22012,3165,135803
MA1,6,52272,41469,18282,33300,9975,155298
MA2,6,52272,41469,18282,33300,9975,155298
MA3,6,52272,41469,18282,33300,9975,155298
MA4,6,52272,41469,18282,33300,9975,155298
MA5,8,52272,41469,18282,33300,9975,155298
MA6,6,52272,41469,18282,33300,9975,155298
MA7,8,52272,41469,18282,33300,9975,155298
MA8,7,52272,41469,18282,33300,9975,155298
MA9,6,52272,41469,18282,33300,9975,155298
ME1,9,34209,32947,12062,15765,5190,100173
ME2,7,34209,32947,12062,15765,5190,100173
MN1,5,26284,17336,5710,7061,6721,63112
MN2,6,38029,23995,7772,11371,5739,86906
MN3,7,49346,26246,11067,13701,7939,108299
MN4,8,46329,40551,9291,25075,8487,129733
MN5,10,52293,69427,10022,40601,9123,181466
MN6,4,24775,15496,5414,6083,3774,55542
MN7,4,19181,10068,4499,3773,7771,45292
MN8,5,31316,19312,8107,7009,8104,73848
NC1,6,50653,16213,13127,3968,9812,93773
NC2,8,63677,40682,19015,22395,10991,156760
NC3,4,34426,12501,10619,4002,7141,68689
NC4,9,68429,49120,20494,34298,15891,188232
NC5,3,26972,16467,8738,4910,7035,64122
NC6,7,53845,31064,15655,11080,8682,120326
NC7,5,40068,20185,14358,7202,9780,91593
NC8,5,39506,16455,10165,4773,5650,76549
NC9,5,42636,18587,12090,6715,10909,90937
NC10,4,25826,13909,9771,4521,6269,60296
NC11,5,37508,38284,10866,16674,17208,120540
NC12,8,57712,31339,17736,13109,8850,128746
NC13,3,27323,14078,9174,4866,6605,62046
OK1,5,25007,19432,9762,9182,3630,67013
OK2,4,19917,9874,9034,5030,8328,52183
OK3,4,17903,10419,7167,6255,5134,46878
OK4,5,23494,16705,7477,8715,5174,61565
OK5,6,31204,20872,8803,11494,3965,76338
TN1,4,12491,10041,4501,2837,2600,32470
TN2,4,20803,18485,9143,7620,5484,61535
TN3,4,23743,13936,8579,5167,3891,55316
TN4,4,19135,13115,6713,4359,4233,47555
TN5,6,34579,26719,12941,15186,7753,97178
TN6,4,17414,10427,7393,3850,4019,43103
TN7,5,23335,11234,8123,4750,4276,51718
TN8,4,25300,9150,8444,3340,2653,48887
TN9,7,38205,15564,13821,6428,3630,77648
TX1,3,17945,7085,5473,2207,2756,35466
TX2,4,19897,14443,6805,4968,4566,50679
TX3,3,12878,6068,4781,2136,2472,28335
TX4,4,23180,12667,8741,4791,4956,54335
TX5,5,25333,25601,8851,12777,7905,80467
TX6,4,11754,14281,5500,3365,2987,37887
TX7,5,24055,18244,8404,6400,4878,61981
TX8,6,30690,26658,11464,10220,8277,87309
TX9,4,19783,18792,6611,5550,5372,56108
TX10,6,30802,22817,9926,7299,6671,77515
TX11,4,23183,16142,7948,6516,5240,59029
TX12,5,25848,22064,9633,8703,7439,73687
TX13,7,31871,19084,11591,6474,4692,73712
TX14,10,43207,67387,15264,41003,14897,181758
TX15,6,28533,20607,10455,9607,6303,75505
TX16,6,31290,20792,12765,9750,8375,82972
TX17,6,32003,20643,13268,9789,7130,82833
TX18,4,29488,19775,12247,6650,7000,75160
TX19,5,19515,23492,12479,6480,11309,73275
TX20,4,14488,17351,14607,4804,7980,59230
TX21,5,18686,32138,12620,8430,11403,83277
TX22,3,20117,11840,6326,4166,3635,46084
TX23,7,41703,24520,11998,7342,7982,93545
TX24,3,19424,12144,6847,5612,4898,48925
TX25,7,29127,30697,13953,16374,11949,102100
TX26,6,19657,27606,11255,9384,7629,75531
TX27,4,14546,17548,12997,3498,8225,56814
TX28,2,10741,8833,3883,3284,3877,30618
TX29,6,509,771,356,195,429,2260
TX30,3,12576,13293,4760,4269,3472,38370
TX31,2,6820,5270,3006,1924,1980,19000
VA1,6,63445,25205,11380,10145,4033,114208
VA2,5,54379,23214,10467,7951,3409,99420
VA3,7,75029,23089,10042,7049,2727,117936
VA4,6,76455,33434,9642,12051,2878,134460
VA5,6,52943,21876,9240,12317,3133,99509
VA6,5,39308,20248,6568,9558,2896,78578
VA7,6,69202,29167,12228,12754,3719,127070
VA8,7,95046,40140,19866,32083,6366,193501
VA9,4,23968,14613,3826,5341,1977,49725
VA10,6,76818,35591,18349,14628,5039,150425
VA11,7,78870,39776,16412,18655,4865,158578
UT1,2,7901,12710,7270,5981,6318,40180
UT2,6,10127,18126,8773,8313,7913,53252
UT3,4,8315,16453,6431,7781,6212,45192
UT4,7,12663,27191,10784,12326,9579,72543
VT1,11,34733,79982,14845,19814,8439,157813
AL-PLEO,7,286067,74867,52750,25847,12784,452315
AR-PLEO,4,92998,51294,38324,22918,23865,229399
CA-PLEO,54,1174679,1480238,575543,572493,548911,4351864
CO-PLEO,9,232206,346802,175700,165687,21444,941839
MA-PLEO,12,470448,373221,164538,299700,92138,1397682
ME-PLEO,3,68418,65894,24124,31530,10380,200346
MN-PLEO,10,287553,222431,61882,114674,57658,744198
NC-PLEO,14,568581,318884,171808,138513,124823,1322609
OK-PLEO,5,117552,77302,42243,40676,26166,303939
TN-PLEO,8,215005,128671,19658,53537,98539,515410
TX-PLEO,30,716781,622964,299449,237317,203492,2080003
VA-PLEO,13,705236,306059,127926,142456,41147,1322824
UT-PLEO,4,39006,74480,33258,34401,30022,211167
VT-PLEO,2,34733,79982,14845,19814,8439,157813
